 ,,,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,,,,,,,
,Fannie Mae Field Services Monthly Scorecard,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
,Initial Services,Initial Services Completed,586,692,556,554,498,347,,169,15.44444444,691,,,
,,Average Days to Complete Initial Service,13.43486842,13.05630027,13.59013283,13.52583979,11.26495132,9.185261003,9.185261003,8.932384342,-1.460503042,10.39288738,,12,20
,,Average Days to BSO Pass,12.82853224,12.61940299,13.55203046,14.05830165,13.10195814,10.12723845,,10.0531401,-1.720688659,11.77382876,,,
,,% Completed >10 Days,0.417763158,0.438605898,0.460468058,0.474806202,0.359527121,0.2814739,0.2814739,0.266903915,-0.059091005,0.32599492,,,
,,Initial Interior Maintenance % Overdue,0.612716763,0.62403698,0.602189781,0.615808824,0.487427466,0.374269006,,0.328205128,-0.109070857,0.437275986,,,
,,Initial Exterior Maintenance % Overdue,0.419491525,0.403780069,0.4625,0.44989339,0.371359223,0.275510204,,0.278106509,-0.051850076,0.329956585,,,
,,Initial Trash Removal % Overdue,0.612476371,0.624605678,0.605786618,0.611214953,0.489194499,0.346041056,,0.318181818,-0.113472858,0.431654676,,,
,,Initial Interior Maintenance % Overdue,0.488687783,0.404878049,0.385365854,0.443181818,0.303370787,0.168831169,0.168831169,,,,,,
,,Initial Exterior Maintenance % Overdue,0.369863014,0.425925926,0.325757576,0.368421053,0.258741259,0.16,0.16,,,,,,
,,Initial Trash Removal % Overdue,0.406060606,0.352201258,0.343558282,0.373333333,0.237804878,0.125,0.125,,,,,,
,Initial QC,Initial Services QC Completed,291,470,564,622,558,253,,132,-43.11111111,788,,,
,,Initial Safety Rating,0.804123711,0.821276596,0.760638298,0.770096463,0.765232975,0.76284585,,0.742424242,-0.02407322,0.766497462,,,
,,Initial Interior Rating,0.945017182,0.914893617,0.897163121,0.884244373,0.905017921,0.889328063,,0.856060606,-0.042416551,0.898477157,,,
,,Initial Exterior Rating,0.810996564,0.736170213,0.659574468,0.718649518,0.727598566,0.754940711,,0.734848485,0.001345947,0.733502538,,,
,,Overall Initial Services QC Score,0.900343643,0.878723404,0.783687943,0.829581994,0.815412186,0.841897233,0.841897233,0.78030303,-0.04076296,0.82106599,,16,20
,BSO,Initial BSO Volume,563,771,598,619,591,307,,164,-23.11111111,842,,,
,,Initial BSO % Passing,0.856512141,0.864516129,0.844155844,0.87804878,0.891393443,0.877862595,,0.874074074,-0.011965812,0.886039886,,20,20
,,Overall BSO % Passing,0.859430605,0.849546044,0.822742475,0.860615883,0.874788494,0.872964169,,0.853658537,-0.020450727,0.874109264,,10,10
,,Number of Reorders,110,151,136,127,103,45,,29,-2.111111111,140,,,
,,Average Days to Complete Reorder,12.48648649,10.64925373,14.89915966,15.83898305,17.80672269,13.66666667,13.66666667,,-,11.70103093,,6,10
,,Number of Failed BSO,65,84,72,60,53,32,,17,-0.777777778,80,,,
,,% BSO Failed Interior,0.063943162,0.076523995,0.070234114,0.066235864,0.049069374,0.061889251,,0.079268293,0.041263542,0.038004751,,,
,,% BSO Failed Exterior,0.065719361,0.089494163,0.081939799,0.075928918,0.074450085,0.061889251,,0.054878049,-0.004504374,0.059382423,,,
,,% BSO Failed Trash Removal,0.063943162,0.067444877,0.076923077,0.066235864,0.0642978,0.068403909,,0.091463415,0.042769828,0.048693587,,,
,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,,,,,,
,,Average Days to Complete Ongoing Interior,,,,,,,,,,,,,
,,Average Days to Complete Ongoing Exterior,,,,,,,,,,,,,
,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
,Ongoing QC,Ongoing Services QC Completed,475,722,789,1159,1646,858,,512,22.66666667,2202,,,
,,Ongoing Services Safety Rating,0.846315789,0.842105263,0.83269962,0.798964625,0.794046173,0.841491841,,0.822265625,0.010730657,0.811534968,,,
,,Ongoing Services Interior Rating,0.936842105,0.893351801,0.892268695,0.875754961,0.859659781,0.867132867,,0.87109375,0.012328991,0.858764759,,,
,,Ongoing Services Exterior Rating,0.749473684,0.703601108,0.632446134,0.662640207,0.643985419,0.682983683,,0.681640625,0.030414467,0.651226158,,,
,,Overall Ongoing Services QC Score,0.877894737,0.86565097,0.821292776,0.823986195,0.801336574,0.82983683,0.82983683,0.822265625,0.012547187,0.809718438,,16,20
,Seasonal,Wint Count,99,454,0,0,651,1018,,,,,,,
,,Avg Days to Complete Wints,11.09090909,0,,,16.57296467,20.27701375,,,,,,,
,,Initial Winterization % Overdue,,,,0,0.965367965,,,,,,,,
,,Grass Cut Count,,,,,,,,,,,,,
,,% Grass Cut Passing,0.690526316,0.681440443,0.670468948,0.705780846,0.705953827,0.726107226,,0.708984375,-0.004912083,0.713896458,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Overall Score,,80,
DC,Washington DC,,,,,,,,,,,,,,
DC,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
DC,Initial Services,Initial Services Completed,6,2,7,2,1,8,,0,-0.444444444,2,,,
DC,,Average Days to Complete Initial Service,5.333333333,3,19.66666667,9,,8.842105263,8.842105263,6.8,-1.7,8.5,,16,20
DC,,Average Days to BSO Pass,5.333333333,3,12,22,,8.842105263,,6.8,-1.7,8.5,,,
DC,,% Completed >10 Days,0.133333333,0.2,0.692307692,0,0,0.473684211,0.473684211,0,-0.5625,0.5625,,,
DC,,Initial Interior Maintenance % Overdue,0.333333333,0.5,0.8,0,0,0.5,,0,-0.571428571,0.571428571,,,
DC,,Initial Exterior Maintenance % Overdue,0,0,0.666666667,0,,0.5,,,-,0.5,,,
DC,,Initial Trash Removal % Overdue,0.333333333,0.5,0.8,0,0,0.444444444,,0,-0.571428571,0.571428571,,,
DC,,Initial Interior Maintenance % Overdue,,,0,,0,0,0,,,,,,
DC,,Initial Exterior Maintenance % Overdue,,,,,0,,,,,,,,
DC,,Initial Trash Removal % Overdue,,,0,,0,,,,,,,,
DC,Initial QC,Initial Services QC Completed,3,4,2,7,1,0,,0,-0.222222222,1,,,
DC,,Initial Safety Rating,1,1,1,0.571428571,1,,,,-,1,,,
DC,,Initial Interior Rating,1,1,1,0.428571429,1,,,,-,1,,,
DC,,Initial Exterior Rating,1,1,1,0.428571429,1,,,,-,1,,,
DC,,Overall Initial Services QC Score,1,1,1,0.428571429,1,,,,-,1,,20,20
DC,BSO,Initial BSO Volume,6,2,1,3,1,5,,4,3.555555556,2,,,
DC,,Initial BSO % Passing,1,1,1,1,1,1,,1,0,1,,20,20
DC,,Overall BSO % Passing,1,1,1,1,1,1,,1,0,1,,10,10
DC,,Number of Reorders,0,0,0,0,0,0,,0,0,0,,,
DC,,Average Days to Complete Reorder,,,,6,,,,,-,,,10,10
DC,,Number of Failed BSO,0,0,0,0,0,0,,0,0,0,,,
DC,,% BSO Failed Interior,0,0,0,0,0,0,,0,,0,,,
DC,,% BSO Failed Exterior,0,0,0,0,0,0,,0,,0,,,
DC,,% BSO Failed Trash Removal,0,0,0,0,0,0,,0,,0,,,
DC,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
DC,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
DC,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
DC,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
DC,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
DC,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
DC,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
DC,Ongoing QC,Ongoing Services QC Completed,10,8,4,7,18,10,,7,1.666666667,24,,,
DC,,Ongoing Services Safety Rating,0.9,0.875,1,1,1,0.9,,,-,,,,
DC,,Ongoing Services Interior Rating,1,1,1,1,0.888888889,0.8,,,-,,,,
DC,,Ongoing Services Exterior Rating,0.9,0.75,1,1,0.833333333,1,,,-,,,,
DC,,Overall Ongoing Services QC Score,1,1,1,1,0.944444444,1,1,,-,,,20,20
DC,Seasonal,Wint Count,0,0,0,0,0,8,,,,,,,
DC,,Avg Days to Complete Wints,,,,,,13.375,,,,,,,
DC,,Initial Winterization % Overdue,,,,,,,,,,,,,
DC,,Grass Cut Count,,,,,,,,,,,,,
DC,,% Grass Cut Passing,0.9,0.875,1,0.714285714,0.944444444,1,,1,0,1,,,
DC,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,Overall Score,,96,
DE,Delaware,,,,,,,,,,,,,,
DE,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
DE,Initial Services,Initial Services Completed,13,14,16,16,9,15,,8,5.111111111,13,,,
DE,,Average Days to Complete Initial Service,8.538461538,11.69230769,11.92857143,11.35714286,4.75,6.607142857,6.607142857,6.4375,-1.050872093,7.488372093,,20,20
DE,,Average Days to BSO Pass,15.4,8.5,11.69230769,11.4,4.75,8.206896552,,6.4375,-1.050872093,7.488372093,,,
DE,,% Completed >10 Days,0.2,0.290322581,0.37037037,0.435897436,0.151515152,0.107142857,0.107142857,0.125,-0.014534884,0.139534884,,,
DE,,Initial Interior Maintenance % Overdue,0.363636364,0.444444444,0.368421053,0.642857143,0.230769231,0.142857143,,0,-0.266666667,0.266666667,,,
DE,,Initial Exterior Maintenance % Overdue,0.307692308,0.307692308,0.571428571,0.357142857,0,0.076923077,,0.125,0.125,0,,,
DE,,Initial Trash Removal % Overdue,0.363636364,0.333333333,0.523809524,0.545454545,0.166666667,0.25,,0.25,0.05,0.2,,,
DE,,Initial Interior Maintenance % Overdue,0.25,0.1,0.363636364,0.25,0.5,0.125,0.125,,,,,,
DE,,Initial Exterior Maintenance % Overdue,0.25,0.6,0.2,,0,0.285714286,0.285714286,,,,,,
DE,,Initial Trash Removal % Overdue,0,0.125,0.285714286,0,0.5,0,0,,,,,,
DE,Initial QC,Initial Services QC Completed,7,6,15,18,8,10,,4,0.222222222,17,,,
DE,,Initial Safety Rating,0.571428571,1,0.933333333,0.833333333,1,1,,1,0,1,,,
DE,,Initial Interior Rating,1,1,1,0.944444444,0.875,1,,1,0.058823529,0.941176471,,,
DE,,Initial Exterior Rating,0.714285714,1,0.733333333,0.888888889,0.625,0.9,,1,0.235294118,0.764705882,,,
DE,,Overall Initial Services QC Score,1,1,0.933333333,0.888888889,0.75,1,1,1,0.117647059,0.882352941,,20,20
DE,BSO,Initial BSO Volume,11,9,14,15,13,5,,1,-2.111111111,14,,,
DE,,Initial BSO % Passing,0.636363636,1,1,0.8,0.923076923,1,,1,0.071428571,0.928571429,,20,20
DE,,Overall BSO % Passing,0.714285714,1,1,0.833333333,0.928571429,1,,1,0.066666667,0.933333333,,10,10
DE,,Number of Reorders,3,0,1,3,1,1,,1,0.777777778,1,,,
DE,,Average Days to Complete Reorder,9,,,11,,,,,-,,,10,10
